epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.13475567194953328;0.9538125;0.2788477604243771;0.899477776846323;0.31442663378545005;0.95393175;0.0;0.999869;0.0;0.954;0.26267020725386214;0.8959065020850424;0.1251388375912793;0.31742243436754175;0.954;nan;1.0;0.0
1;0.13270117915331503;0.953875;0.2602793488425403;0.8953180117897366;0.3062330623306233;0.953875;nan;1.0;0.0;0.9545;0.2649492510630858;0.8934270287072802;0.11313445413659792;0.2926829268292683;0.9545;nan;1.0;0.0
2;0.1306163099623518;0.9544375;0.2850504443632744;0.905088012105757;0.32554945054945056;0.95449716;0.0;0.9999345;0.0;0.957;0.3192725446996113;0.9029154820052976;0.1328200692986138;0.3554913294797688;0.957;nan;1.0;0.0
3;0.1242685758745647;0.956;0.41125808969596034;0.9210518080924714;0.4484181568088033;0.95719844;0.6666667;0.99855965;0.060606062;0.956125;0.3639392564772226;0.9132934137864989;0.1121557825774653;0.4155124653739612;0.95734537;0.62068963;0.9985606;0.05027933
4;0.12382449055177858;0.95525;0.3986844306509314;0.9181286660455061;0.418732782369146;0.9553929;0.8125;0.9998036;0.017906336;0.955625;0.3630672961920892;0.8978120621531354;0.11829738450865261;0.40896358543417366;0.955956;0.625;0.9996075;0.014005602
5;0.12244684056926053;0.9561875;0.36287969642555484;0.9155453388327432;0.40709219858156026;0.9603205;0.5135135;0.9952926;0.107801415;0.958375;0.4286354479313406;0.9196960096290864;0.11574753429845441;0.4383561643835616;0.9609996;0.6883117;0.9968578;0.14640884
6;0.12126194438332459;0.9550625;0.4026081364040914;0.9256400200272339;0.4272108843537415;0.9550625;nan;1.0;0.0;0.953625;0.4375060472384145;0.9240718264909697;0.11438982081541325;0.4691689008042895;0.9536192;1.0;1.0;0.002688172
7;0.11723476884086267;0.955;0.3400763281219056;0.9173216116102209;0.37252124645892354;0.9618064;0.4481132;0.9923539;0.13610315;0.957875;0.4174903697594702;0.9138689362962246;0.10934453760378528;0.44537815126050423;0.96205413;0.60638297;0.995159;0.15966387
8;0.11680243904559756;0.9529375;0.3635698958890552;0.9228320534351085;0.37962962962962965;0.9529375;nan;1.0;0.0;0.954625;0.3270718851970324;0.9000173506464649;0.11874717826978304;0.38016528925619836;0.954625;nan;1.0;0.0
9;0.11494412640138763;0.952625;0.4033282049596964;0.9259694923547876;0.4346153846153846;0.9554128;0.58677685;0.99671507;0.09114249;0.955;0.43345943540852944;0.921303431693989;0.12020249436295126;0.4574468085106383;0.9572058;0.6363636;0.99737704;0.093333334
